GME_NAAM,lat,lng
Delft,52.011944444,4.359444444
Zwolle,52.516666666,6.1
Assen,53.0,6.55
Utrecht,52.088888888,5.115555555
Alkmaar,52.6289,4.74403
Almelo,52.3575,6.666666666
Amersfoort,52.15,5.38
Appingedam,53.316666666,6.866666666
Wageningen,51.964444444,5.663055555
Maastricht,50.866666666,5.683333333
Arnhem,51.983333333,5.916666666
Veenendaal,52.025,5.555
Woerden,52.085833333,4.883333333
Eijsden-Margraten,50.791667,5.756111
Gulpen-Wittem,50.8161,5.8983
Vaals,50.769444444,6.018055555
Simpelveld,50.835,5.9822
Voerendaal,50.8833,5.9167
Valkenburg aan de Geul,50.864444444,5.830555555
Meerssen,50.8858,5.7519
Weert,51.25,5.7
Venray,51.5258,5.9747
Venlo,51.366666666,6.166666666
Stein,50.9679,5.7652
Sittard-Geleen,51.0,5.85
Schinnen,50.9428,5.8894
Roerdalen,51.1531,6.0792
Peel en Maas,51.31666667,5.98333333
Onderbanken,50.9681,5.9719
Nuth,50.916666666,5.883333333
Nederweert,51.2828,5.7472
Mook en Middelaar,51.7525,5.8817
Maasgouw,51.15,5.8833
Leudal,51.233333333,5.866666666
Landgraaf,50.9083,6.0297
Kerkrade,50.866666666,6.066666666
Horst aan de Maas,51.4369,6.1061
Heerlen,50.883333333,5.983333333
Gennep,51.6942,5.9733
Echt-Susteren,51.0833,5.8667
Brunssum,50.95,5.966666666
Bergen,51.5992,6.0336
Beesel,51.2669,6.0392
Beek,50.9394,5.7961
's-Hertogenbosch,51.6892,5.3031
Aalburg,51.753888888,5.131388888
Alphen-Chaam,51.4992,4.8722
Asten,51.4031,5.7472
Baarle-Nassau,51.45,4.933333333
Bergeijk,51.3203,5.3592
Bergen op Zoom,51.5,4.3
Bernheze,51.6931,5.5253
Best,51.5108,5.3922
Bladel,51.366666666,5.216666666
Boekel,51.6011,5.6742
Boxmeer,51.6483,5.9444
Boxtel,51.5911,5.3275
Breda,51.5875,4.775
Cranendonck,51.2853,5.5881
Cuijk,51.7269,5.8794
Deurne,51.4639,5.7947
Dongen,51.6258,4.9433
Drimmelen,51.694444444,4.797222222
Eersel,51.3572,5.3147
Eindhoven,51.434444444,5.484166666
Etten-Leur,51.5706,4.6356
Geertruidenberg,51.7008,4.8603
