gmeLabel,flag
Delft,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Delft.svg
Dordrecht,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Dordrecht.svg
Zoetermeer,http://commons.wikimedia.org/wiki/Special:FilePath/Zoetermeer%20vlag.svg
Westland,http://commons.wikimedia.org/wiki/Special:FilePath/Westland%20municipality%20flag.svg
Den Haag,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20The%20Hague.svg
Leiden,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Leiden.svg
Gouda,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Gouda.svg
Oegstgeest,http://commons.wikimedia.org/wiki/Special:FilePath/Oegstgeest%20Netherlands%20flag.svg
Leidschendam-Voorburg,http://commons.wikimedia.org/wiki/Special:FilePath/Leidschendam-Voorburg%20vlag.svg
Alkemade,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Alkemade.gif
Bernisse,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Bernisse.svg
Zederik,http://commons.wikimedia.org/wiki/Special:FilePath/Zederik%20vlag.svg
Zevenhoven,http://commons.wikimedia.org/wiki/Special:FilePath/Zevenhoven%20vlag.svg
Zevenhuizen-Moerkapelle,http://commons.wikimedia.org/wiki/Special:FilePath/Zevenhuizen-Moerkapelle%20vlag.svg
Barendrecht,http://commons.wikimedia.org/wiki/Special:FilePath/Barendrecht%20vlag.svg
Schiedam,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Schiedam.svg
Katwijk,http://commons.wikimedia.org/wiki/Special:FilePath/Katwijk%20vlag.svg
Vlaardingen,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Vlaardingen.svg
Alphen aan den Rijn,http://commons.wikimedia.org/wiki/Special:FilePath/Vlag%20Alphen%20aan%20den%20Rijn.svg
Zoeterwoude,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Zoeterwoude.svg
Ridderkerk,http://commons.wikimedia.org/wiki/Special:FilePath/Ridderkerk%20Netherlands.svg
Driebruggen,
Zuidplas,http://commons.wikimedia.org/wiki/Special:FilePath/Zuidplas%20flag.svg
Gorinchem,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Gorinchem.svg
Zwijndrecht,http://commons.wikimedia.org/wiki/Special:FilePath/Zwijndrecht%20%28Nederland%29%20vlag.svg
Roxenisse,
Pijnacker-Nootdorp,http://commons.wikimedia.org/wiki/Special:FilePath/Pijnacker-Nootdorp%20vlag.svg
Cromstrijen,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Cromstrijen.svg
Lisse,http://commons.wikimedia.org/wiki/Special:FilePath/Flag%20of%20Lisse.svg
Leerdam,http://commons.wikimedia.org/wiki/Special:FilePath/Leerdam%20flag.svg
's-Gravenzande,
Noordwijk,http://commons.wikimedia.org/wiki/Special:FilePath/Noordwijk%20vlag%202020.svg
